,RMSE
"(5, 2, 2)(0, 1, 0, 12)",0.2438907334107164
"(5, 1, 3)(0, 1, 0, 12)",0.19989041562757123
"(5, 2, 3)(0, 1, 0, 12)",1.080194630350497
"(5, 1, 4)(0, 1, 0, 12)",0.19623435101121928
"(5, 2, 4)(0, 1, 0, 12)",0.2458421745352132
"(5, 1, 5)(0, 1, 0, 12)",0.20030293880500732
"(5, 2, 5)(0, 1, 0, 12)",1.1096589564867094
"(5, 1, 7)(0, 1, 0, 12)",0.2510116594647789
"(5, 2, 7)(0, 1, 0, 12)",0.3364841287130968
"(7, 1, 1)(0, 1, 0, 12)",0.2411142597195797
"(7, 2, 1)(0, 1, 0, 12)",0.9610193461146975
"(7, 1, 2)(0, 1, 0, 12)",0.2973638418036531
"(7, 2, 2)(0, 1, 0, 12)",0.24632847469469582
"(7, 1, 3)(0, 1, 0, 12)",0.2905953108963532
"(7, 2, 3)(0, 1, 0, 12)",0.27946603967830197
"(7, 1, 4)(0, 1, 0, 12)",1.3021301715128466e+65
"(7, 2, 4)(0, 1, 0, 12)",1.936400654344869
"(7, 1, 5)(0, 1, 0, 12)",0.28481397377067014
"(7, 2, 5)(0, 1, 0, 12)",0.7996034871745021
"(7, 1, 7)(0, 1, 0, 12)",0.27177339262698763
"(7, 2, 7)(0, 1, 0, 12)",1.4280339380950278
"(1, 1, 1)(0, 0, 1, 12)",0.32037558793444365
"(1, 2, 1)(0, 0, 1, 12)",0.32388117072715344
"(1, 1, 2)(0, 0, 1, 12)",0.3201750685762505
"(1, 2, 2)(0, 0, 1, 12)",0.3296196105189465
"(1, 1, 3)(0, 0, 1, 12)",0.32383281924422186
"(1, 2, 3)(0, 0, 1, 12)",0.3210237751933704
"(1, 1, 4)(0, 0, 1, 12)",0.3210447286089938
"(1, 2, 4)(0, 0, 1, 12)",0.32379781999968876
"(1, 1, 5)(0, 0, 1, 12)",0.3432774755857796
"(1, 2, 5)(0, 0, 1, 12)",0.32984743471286004
"(1, 1, 7)(0, 0, 1, 12)",0.3277177319670629
"(1, 2, 7)(0, 0, 1, 12)",0.34111625164409215
"(2, 1, 1)(0, 0, 1, 12)",0.31994170115615306
"(2, 2, 1)(0, 0, 1, 12)",0.32144179591067645
"(2, 1, 2)(0, 0, 1, 12)",0.2793202859769631
"(2, 2, 2)(0, 0, 1, 12)",0.32696916978810076
"(2, 1, 3)(0, 0, 1, 12)",0.32295198811595305
"(2, 2, 3)(0, 0, 1, 12)",0.28674888451813196
"(2, 1, 4)(0, 0, 1, 12)",0.3278329743395136
"(2, 2, 4)(0, 0, 1, 12)",0.30478184150306886
"(2, 1, 5)(0, 0, 1, 12)",0.30232122175475007
"(2, 2, 5)(0, 0, 1, 12)",0.3970350865831371
"(2, 1, 7)(0, 0, 1, 12)",0.3004869890986824
